--- Starting DDPG Training on Pendulum-v1 ---
Step:   44821 | Ep Return: -124.56 | Avg Return (last 50): -133.98 | Ep Length:  201
[Metrics] Step: 45000/50000 | Q-Loss: 43.4547 | Pi-Loss: 45.5114 | SPS: 361
Step:   45022 | Ep Return:   -8.47 | Avg Return (last 50): -134.10 | Ep Length:  201
Step:   45223 | Ep Return: -247.01 | Avg Return (last 50): -136.64 | Ep Length:  201
Step:   45424 | Ep Return: -132.70 | Avg Return (last 50): -136.80 | Ep Length:  201
Step:   45625 | Ep Return: -249.81 | Avg Return (last 50): -141.76 | Ep Length:  201
Step:   45826 | Ep Return: -129.39 | Avg Return (last 50): -141.97 | Ep Length:  201
Step:   46027 | Ep Return: -133.38 | Avg Return (last 50): -142.11 | Ep Length:  201
Step:   46228 | Ep Return: -347.00 | Avg Return (last 50): -149.03 | Ep Length:  201
Step:   46429 | Ep Return: -126.04 | Avg Return (last 50): -149.02 | Ep Length:  201
Step:   46630 | Ep Return: -132.66 | Avg Return (last 50): -149.36 | Ep Length:  201
Step:   46831 | Ep Return: -129.84 | Avg Return (last 50): -147.32 | Ep Length:  201
Step:   47032 | Ep Return: -234.51 | Avg Return (last 50): -147.12 | Ep Length:  201
Step:   47233 | Ep Return: -124.52 | Avg Return (last 50): -149.55 | Ep Length:  201
Step:   47434 | Ep Return: -124.11 | Avg Return (last 50): -149.47 | Ep Length:  201
Step:   47635 | Ep Return: -128.73 | Avg Return (last 50): -149.68 | Ep Length:  201
Step:   47836 | Ep Return: -231.63 | Avg Return (last 50): -154.22 | Ep Length:  201
Step:   48037 | Ep Return: -259.18 | Avg Return (last 50): -154.40 | Ep Length:  201
Step:   48238 | Ep Return: -130.01 | Avg Return (last 50): -154.51 | Ep Length:  201
Step:   48439 | Ep Return: -237.32 | Avg Return (last 50): -156.62 | Ep Length:  201
Step:   48640 | Ep Return: -122.33 | Avg Return (last 50): -156.66 | Ep Length:  201
Step:   48841 | Ep Return: -129.37 | Avg Return (last 50): -156.80 | Ep Length:  201
Step:   49042 | Ep Return: -356.32 | Avg Return (last 50): -161.31 | Ep Length:  201
Step:   49243 | Ep Return: -128.11 | Avg Return (last 50): -161.42 | Ep Length:  201
Step:   49444 | Ep Return: -133.17 | Avg Return (last 50): -163.92 | Ep Length:  201
Step:   49645 | Ep Return: -122.14 | Avg Return (last 50): -163.69 | Ep Length:  201
Step:   49846 | Ep Return: -119.97 | Avg Return (last 50): -163.45 | Ep Length:  201

--- Saving Model ---
Success: Actor model saved to models/ddpg_Pendulum-v1_actor.pth

--- Generating Plot ---
Success: Plot saved to ddpg_learning_curve_Pendulum-v1.png
Success: Plot also saved to /Users/japo/Desktop/ai-msc/year-1/semester-2/reinforcement-learning/labs/L11_ddpg-cleanrl/lessons/lesson11/../../results/ddpg_learning_curve.png
